subject,canonical_label,model_id,session_count,mean_target_class_proportion,min_target_class_proportion,max_target_class_proportion,range_target_class_proportion,population_sd_target_class_proportion,mean_abs_chronological_step
lyc,focus,mixed-common6,6,0.41918230642532733,0.06628242074927954,0.5781584582441114,0.5118760374948319,0.17915228495786326,0.10237520749896638
lyc,focus,personal,6,0.3200896033693406,0.040345821325648415,0.5441640378548895,0.5038182165292411,0.15732153171278937,0.18294929647526803
lyc,focus,pooled,6,0.5658894201891637,0.20461095100864554,0.7208201892744479,0.5162092382658023,0.17310671249909557,0.147990177417275
lyc,unfocus,mixed-common6,1,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.0,0.0,
lyc,unfocus,personal,1,0.7623239436619719,0.7623239436619719,0.7623239436619719,0.0,0.0,
lyc,unfocus,pooled,1,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.0,0.0,
zyf,focus,mixed-common6,4,0.23181097229008976,0.08026030368763558,0.3344370860927152,0.2541767824050796,0.10340470388723695,0.17431602579166994
zyf,focus,personal,4,0.044002332716307734,0.0223463687150838,0.07947019867549669,0.05712382996041289,0.02216623734142138,0.032444710907675006
zyf,focus,pooled,4,0.07247776244663982,0.021479713603818614,0.12582781456953643,0.10434810096571781,0.04443602953446473,0.041295081028020396
