csv_path,source_role,reference_location,headset_name,data_logger,filter_metadata,sensor_units,channel_header
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus6.csv,legacy_baseline_candidate,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus7.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus8.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus9.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\iu1.csv,legacy_baseline_candidate,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\iu2.csv,legacy_baseline_candidate,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\iu3.csv,legacy_baseline_candidate,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\iu4.csv,legacy_baseline_candidate,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\ou1.csv,legacy_baseline_candidate,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\ou2.csv,legacy_baseline_candidate,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\ou3.csv,legacy_baseline_candidate,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_daze1.csv,legacy_reference,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_daze2.csv,legacy_reference,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_focus1.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_focus2.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_focus3.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_focus4.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_iu1.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_iu2.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_ou1.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_ou2.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_ou3.csv,legacy_baseline_candidate,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
