model_id,model,test_subject,sessions,windows,accuracy,balanced_accuracy,predicted_unfocus_windows,predicted_unfocus_proportion,predicted_focus_windows,predicted_focus_proportion,confusion_matrix
lyc_personal,lyc personal model,lyc,3,1129,0.466784765279008,0.47669443329318884,616,0.545615589016829,513,0.45438441098317095,"[[219, 205], [397, 308]]"
lyc_personal,lyc personal model,zyf,3,1260,0.6793650793650794,0.5179511075248042,18,0.014285714285714285,1242,0.9857142857142858,"[[16, 402], [2, 840]]"
pooled,Existing pooled frozen model,lyc,3,1129,0.6554472984942427,0.6427990766760336,467,0.4136403897254207,662,0.5863596102745793,"[[251, 173], [216, 489]]"
pooled,Existing pooled frozen model,zyf,3,1260,0.46111111111111114,0.5769158644830603,1031,0.8182539682539682,229,0.18174603174603174,"[[385, 33], [646, 196]]"
zyf_personal,zyf personal model,lyc,3,1129,0.4579273693534101,0.5645473705339221,1030,0.912311780336581,99,0.08768821966341896,"[[421, 3], [609, 96]]"
zyf_personal,zyf personal model,zyf,3,1260,0.41349206349206347,0.5214089261157644,1025,0.8134920634920635,235,0.1865079365079365,"[[352, 66], [673, 169]]"
