window_index,start_s,end_s,predicted_label,focus_probability
0,0.0,4.0,unfocus,0.06232161415260992
1,2.0,6.0,unfocus,0.012960178344518581
2,4.0,8.0,unfocus,0.030592827358481105
3,6.0,10.0,unfocus,0.06885120813712822
4,8.0,12.0,unfocus,0.035824771807692855
5,10.0,14.0,focus,0.6072723237696473
6,12.0,16.0,unfocus,0.5
7,14.0,18.0,focus,0.6812764352217601
8,16.0,20.0,unfocus,0.014562522074012433
9,18.0,22.0,focus,0.6812629598029808
10,20.0,24.0,focus,0.8243346739060257
11,22.0,26.0,unfocus,0.12709452474821478
12,24.0,28.0,unfocus,0.20471094990605995
13,26.0,30.0,unfocus,0.4941273456203119
14,28.0,32.0,focus,0.7632529254540036
15,30.0,34.0,focus,0.8074376003308036
16,32.0,36.0,unfocus,0.23924957106517436
17,34.0,38.0,unfocus,0.007269769667542562
18,36.0,40.0,unfocus,0.007356538714495955
19,38.0,42.0,focus,0.7693072520247326
20,40.0,44.0,unfocus,0.4131310295871397
21,42.0,46.0,unfocus,0.0540177181117601
22,44.0,48.0,unfocus,0.03710071789267089
23,46.0,50.0,unfocus,0.32497696409186977
24,48.0,52.0,unfocus,0.0038933480147991476
25,50.0,54.0,unfocus,0.35558393664081966
26,52.0,56.0,unfocus,0.25017301129843117
27,54.0,58.0,unfocus,0.05229287915268828
28,56.0,60.0,focus,0.8364225074773739
29,58.0,62.0,unfocus,0.1680771394392115
30,60.0,64.0,unfocus,0.1143448267162765
31,62.0,66.0,focus,0.5359516600392594
32,64.0,68.0,focus,0.9548812335378806
33,66.0,70.0,unfocus,0.18608758928344327
34,68.0,72.0,focus,0.5543251042186819
35,70.0,74.0,focus,0.9741607310358107
36,72.0,76.0,unfocus,0.0220776498468437
37,74.0,78.0,unfocus,0.09498671593583385
38,76.0,80.0,focus,0.6048905183945528
39,78.0,82.0,unfocus,0.012961400670345423
40,80.0,84.0,unfocus,0.014554009085219295
41,82.0,86.0,unfocus,0.26276043818363876
42,84.0,88.0,focus,0.7154001162188116
43,86.0,90.0,unfocus,0.01637690947156645
44,88.0,92.0,unfocus,0.09616143890892746
45,90.0,94.0,unfocus,0.34556522632848286
46,92.0,96.0,unfocus,0.433355893904455
47,94.0,98.0,unfocus,0.05333924133377799
48,96.0,100.0,unfocus,0.06500924450797016
49,98.0,102.0,unfocus,0.39334514387160274
50,100.0,104.0,focus,0.6220727234756492
51,102.0,106.0,unfocus,0.17839145342577584
52,104.0,108.0,unfocus,0.013186260135701547
53,106.0,110.0,unfocus,0.013738109931904469
54,108.0,112.0,unfocus,1.2262023636986362e-06
55,110.0,114.0,focus,0.8276596565500728
56,112.0,116.0,unfocus,0.2425065754828594
57,114.0,118.0,unfocus,0.2651410428216018
58,116.0,120.0,unfocus,0.02067722652345524
59,118.0,122.0,unfocus,0.00700746897508986
60,120.0,124.0,unfocus,0.048524755799415245
61,122.0,126.0,unfocus,0.05360960539822815
62,124.0,128.0,focus,0.8334499457421792
63,126.0,130.0,focus,0.7734620898943362
64,128.0,132.0,unfocus,0.43583228529161433
65,130.0,134.0,unfocus,0.17583717739994506
66,132.0,136.0,unfocus,0.06571008284970259
67,134.0,138.0,unfocus,0.005752853266709848
68,136.0,140.0,unfocus,0.1175977537895324
69,138.0,142.0,unfocus,0.09047459795106842
70,140.0,144.0,unfocus,0.1449112532017906
71,142.0,146.0,unfocus,1.227306293646414e-05
72,144.0,148.0,unfocus,0.02722110560963256
73,146.0,150.0,unfocus,0.020568418867121685
74,148.0,152.0,unfocus,0.029424702573674397
75,150.0,154.0,unfocus,0.0056294976402601095
76,152.0,156.0,focus,0.5364772610486551
77,154.0,158.0,focus,0.9752999251851387
78,156.0,160.0,focus,0.7461365460855828
79,158.0,162.0,unfocus,0.057204816249181285
80,160.0,164.0,unfocus,0.037388355185093196
81,162.0,166.0,unfocus,0.01074153543913959
82,164.0,168.0,unfocus,0.005657049040075894
83,166.0,170.0,unfocus,0.005880445581032493
84,168.0,172.0,unfocus,0.003249644699855413
85,170.0,174.0,unfocus,0.008115446261326908
86,172.0,176.0,unfocus,3.0976392510651465e-06
87,174.0,178.0,unfocus,3.6341068880627297e-09
88,176.0,180.0,unfocus,0.05157545909609293
89,178.0,182.0,unfocus,0.17237956617877567
90,180.0,184.0,unfocus,0.06015967036884233
91,182.0,186.0,unfocus,0.23328992113759311
92,184.0,188.0,unfocus,1.8643164056003782e-05
93,186.0,190.0,unfocus,0.0038409714536823203
94,188.0,192.0,unfocus,3.315080893647128e-07
95,190.0,194.0,unfocus,2.35445920268289e-06
96,192.0,196.0,unfocus,6.8979620448126856e-06
97,194.0,198.0,unfocus,0.0045053269261336746
98,196.0,200.0,unfocus,0.008944168689331929
99,198.0,202.0,unfocus,0.002988294644338344
100,200.0,204.0,unfocus,1.5252905011755944e-05
101,202.0,206.0,unfocus,0.007596443742714664
102,204.0,208.0,unfocus,0.006426130613750867
103,206.0,210.0,unfocus,1.0173372636850292e-05
104,208.0,212.0,unfocus,0.008502337703326316
105,210.0,214.0,unfocus,0.011375760560445269
106,212.0,216.0,unfocus,0.008507290831062334
107,214.0,218.0,unfocus,0.01043524856858431
108,216.0,220.0,unfocus,0.051888242465107634
109,218.0,222.0,unfocus,0.0973351813673305
110,220.0,224.0,unfocus,0.006875067568080807
111,222.0,226.0,unfocus,3.511679187027682e-06
112,224.0,228.0,unfocus,0.004450270880149709
113,226.0,230.0,unfocus,0.0076742848349753605
114,228.0,232.0,unfocus,0.0613986149643935
115,230.0,234.0,unfocus,0.04069736672990791
116,232.0,236.0,unfocus,0.0037778786776495447
117,234.0,238.0,unfocus,0.00751721662246109
118,236.0,240.0,unfocus,0.02241419850454483
119,238.0,242.0,unfocus,0.018350597897060027
120,240.0,244.0,unfocus,1.5412347782867166e-05
121,242.0,246.0,unfocus,0.0025921438740178966
122,244.0,248.0,unfocus,0.003951248532460715
123,246.0,250.0,unfocus,0.039839789927521956
124,248.0,252.0,unfocus,0.004185304294262404
125,250.0,254.0,unfocus,0.05157639952167549
126,252.0,256.0,unfocus,0.08120193266477438
127,254.0,258.0,unfocus,0.04775093438232549
128,256.0,260.0,unfocus,0.03767654356313136
129,258.0,262.0,unfocus,0.025811515635917742
130,260.0,264.0,unfocus,0.027317256779413372
131,262.0,266.0,unfocus,0.050390979265939786
132,264.0,268.0,unfocus,0.025099646909599333
133,266.0,270.0,unfocus,0.008776399093011701
134,268.0,272.0,unfocus,6.026133114042885e-06
135,270.0,274.0,unfocus,0.01617197584353248
136,272.0,276.0,unfocus,0.021676677141712307
137,274.0,278.0,unfocus,0.015574578353357722
138,276.0,280.0,unfocus,0.02780976548689118
139,278.0,282.0,unfocus,0.007966738541273964
140,280.0,284.0,unfocus,0.005477520186944226
141,282.0,286.0,unfocus,0.00449834795396385
142,284.0,288.0,unfocus,0.009165165334881816
143,286.0,290.0,focus,0.7595289874426622
144,288.0,292.0,unfocus,0.11812742875567933
145,290.0,294.0,unfocus,0.005368168094882312
146,292.0,296.0,unfocus,8.631686913259906e-06
147,294.0,298.0,unfocus,0.008139849824275692
148,296.0,300.0,unfocus,0.02538063921127414
149,298.0,302.0,unfocus,0.0370851089742589
150,300.0,304.0,unfocus,0.04063283628162647
151,302.0,306.0,unfocus,0.0031568145039093114
152,304.0,308.0,unfocus,0.009013600825670513
153,306.0,310.0,unfocus,0.056435113675732
154,308.0,312.0,unfocus,0.39685223024131927
155,310.0,314.0,unfocus,0.507098872584049
156,312.0,316.0,unfocus,0.0072905200506494
157,314.0,318.0,unfocus,0.5
158,316.0,320.0,unfocus,0.44298833847061975
159,318.0,322.0,unfocus,0.002996509328915862
160,320.0,324.0,unfocus,5.549845236920059e-06
161,322.0,326.0,unfocus,0.04675905598422543
162,324.0,328.0,unfocus,0.47262021168991375
163,326.0,330.0,unfocus,0.08324615754276651
164,328.0,332.0,unfocus,0.024256390137797124
165,330.0,334.0,unfocus,0.01300607523722753
166,332.0,336.0,unfocus,0.0852233472048294
167,334.0,338.0,unfocus,0.28146315050123133
168,336.0,340.0,unfocus,0.010917670931639157
169,338.0,342.0,unfocus,0.06540099160255862
170,340.0,344.0,unfocus,0.057415363474175654
171,342.0,346.0,unfocus,0.01530682960130149
172,344.0,348.0,unfocus,8.993969205722638e-06
173,346.0,350.0,unfocus,0.03293174833387743
174,348.0,352.0,unfocus,0.06777945694952806
175,350.0,354.0,focus,0.953009212213865
176,352.0,356.0,focus,0.7194441877145173
177,354.0,358.0,unfocus,0.10003719605801557
178,356.0,360.0,unfocus,0.10158276816592311
179,358.0,362.0,unfocus,0.5074054362313787
180,360.0,364.0,unfocus,0.014030772594530972
181,362.0,366.0,unfocus,1.57472166493828e-05
182,364.0,368.0,unfocus,0.003864285989776051
183,366.0,370.0,unfocus,0.05425167748173696
184,368.0,372.0,unfocus,0.11567870362801815
185,370.0,374.0,unfocus,0.020828897464219995
186,372.0,376.0,unfocus,0.06996099928115893
187,374.0,378.0,unfocus,0.09327403243456164
188,376.0,380.0,unfocus,0.02482179370004927
189,378.0,382.0,unfocus,0.05309742857704678
190,380.0,384.0,unfocus,0.022113524993506464
191,382.0,386.0,unfocus,0.020574047877831594
192,384.0,388.0,unfocus,0.0166914294017145
193,386.0,390.0,unfocus,0.006747892519154913
194,388.0,392.0,unfocus,1.0720940633483234e-05
195,390.0,394.0,unfocus,0.0068133348733283375
196,392.0,396.0,unfocus,0.04815032867080426
197,394.0,398.0,unfocus,0.021341148797460886
198,396.0,400.0,unfocus,0.2926609915669422
199,398.0,402.0,unfocus,0.29954231134328313
200,400.0,404.0,unfocus,0.03726154923914273
201,402.0,406.0,unfocus,0.009471278506342126
202,404.0,408.0,unfocus,0.00970256455065088
203,406.0,410.0,unfocus,0.009855348819951273
204,408.0,412.0,unfocus,0.004761295673507321
205,410.0,414.0,unfocus,0.1270442409471968
206,412.0,416.0,unfocus,0.004147707459938676
207,414.0,418.0,unfocus,0.051774652950577656
208,416.0,420.0,unfocus,0.0072681488498687885
209,418.0,422.0,unfocus,0.1536144588035881
210,420.0,424.0,unfocus,0.19400491352712773
211,422.0,426.0,unfocus,0.0037959300477909625
212,424.0,428.0,unfocus,0.20070187748783622
213,426.0,430.0,unfocus,0.005919461427441652
214,428.0,432.0,unfocus,0.018474373478920003
215,430.0,434.0,unfocus,0.03234839697909138
216,432.0,436.0,unfocus,1.55609675478835e-05
217,434.0,438.0,unfocus,0.015895684925501023
218,436.0,440.0,unfocus,0.07518625290822628
219,438.0,442.0,unfocus,0.024331414927066673
220,440.0,444.0,unfocus,0.002572937468354098
221,442.0,446.0,unfocus,0.011783971553203402
222,444.0,448.0,unfocus,0.10265044240455107
223,446.0,450.0,unfocus,0.010583357728797815
224,448.0,452.0,unfocus,0.08603562097985137
225,450.0,454.0,unfocus,0.060566744906425926
226,452.0,456.0,unfocus,0.07270658480279715
227,454.0,458.0,unfocus,0.11712718369472709
228,456.0,460.0,unfocus,0.05126840415332804
229,458.0,462.0,unfocus,0.011437240038245134
230,460.0,464.0,unfocus,0.09957510966681156
231,462.0,466.0,unfocus,0.14277251077938063
232,464.0,468.0,unfocus,0.026338269060924298
233,466.0,470.0,unfocus,0.05303943669007667
234,468.0,472.0,unfocus,0.007985987962825345
235,470.0,474.0,unfocus,0.1148873400078356
236,472.0,476.0,unfocus,0.020478623357720455
237,474.0,478.0,unfocus,0.05723376312486263
238,476.0,480.0,focus,0.6315703819177102
239,478.0,482.0,unfocus,0.01854839548355463
240,480.0,484.0,unfocus,0.015070907831687592
241,482.0,486.0,unfocus,0.00535597837886795
242,484.0,488.0,unfocus,0.029288992130152833
243,486.0,490.0,unfocus,0.012024158120492725
244,488.0,492.0,unfocus,0.22454573224379526
245,490.0,494.0,unfocus,0.06886628250187812
246,492.0,496.0,unfocus,0.02584024264315771
247,494.0,498.0,unfocus,0.00826192311696707
248,496.0,500.0,unfocus,0.008013696724547775
249,498.0,502.0,unfocus,0.0219696250451062
250,500.0,504.0,unfocus,0.1376104451430968
251,502.0,506.0,unfocus,0.03880048608462221
252,504.0,508.0,unfocus,0.42076224900503056
253,506.0,510.0,focus,0.8410160285748295
254,508.0,512.0,unfocus,0.34829084331544713
255,510.0,514.0,unfocus,0.029490903585148772
256,512.0,516.0,unfocus,6.6139272578482565e-06
257,514.0,518.0,unfocus,0.03668011058607264
258,516.0,520.0,unfocus,0.04512826143735988
259,518.0,522.0,unfocus,0.10831097149023451
260,520.0,524.0,unfocus,0.005459571708663691
261,522.0,526.0,unfocus,0.11665906950301708
262,524.0,528.0,unfocus,0.0926177361146146
263,526.0,530.0,unfocus,0.014002034767203474
264,528.0,532.0,unfocus,0.186405902690332
265,530.0,534.0,unfocus,0.05762996455239544
266,532.0,536.0,unfocus,0.016359055859578128
267,534.0,538.0,unfocus,0.0026031729666627355
268,536.0,540.0,unfocus,0.017238364371363567
269,538.0,542.0,unfocus,7.607565995562607e-06
270,540.0,544.0,unfocus,1.0285128473549308e-05
271,542.0,546.0,unfocus,0.019336106444246114
272,544.0,548.0,unfocus,0.03326069115964926
273,546.0,550.0,unfocus,0.00597138312166355
274,548.0,552.0,unfocus,0.004777406656846028
275,550.0,554.0,unfocus,0.04094962340060142
276,552.0,556.0,unfocus,0.019732058082560792
277,554.0,558.0,unfocus,0.014833188212069595
278,556.0,560.0,unfocus,0.01940518989964799
279,558.0,562.0,unfocus,0.03174122522452888
280,560.0,564.0,unfocus,0.00696143354594289
281,562.0,566.0,unfocus,0.011986284617147944
282,564.0,568.0,unfocus,0.01353625198017096
283,566.0,570.0,unfocus,0.028760799543753372
284,568.0,572.0,unfocus,0.07096653532316993
285,570.0,574.0,unfocus,0.010947700547152118
286,572.0,576.0,unfocus,0.08057604981337455
287,574.0,578.0,unfocus,0.05985122775255893
288,576.0,580.0,unfocus,0.054777894300716334
289,578.0,582.0,unfocus,0.0136037693734303
290,580.0,584.0,unfocus,0.05233179729918659
291,582.0,586.0,unfocus,0.0805259806956695
292,584.0,588.0,unfocus,0.00499029490943047
293,586.0,590.0,unfocus,0.016167252709399466
294,588.0,592.0,unfocus,0.014906744869905966
295,590.0,594.0,unfocus,1.4579901430891705e-05
296,592.0,596.0,unfocus,2.1107940861214668e-06
