window_index,start_s,end_s,predicted_label,focus_probability
0,0.0,4.0,focus,0.9766530159076324
1,2.0,6.0,unfocus,0.08664606178354745
2,4.0,8.0,unfocus,0.3978375287679139
3,6.0,10.0,unfocus,0.5303495193416594
4,8.0,12.0,focus,0.9407405629428793
5,10.0,14.0,focus,0.9742205026442625
6,12.0,16.0,focus,0.914237045148815
7,14.0,18.0,focus,0.9881827950866386
8,16.0,20.0,focus,0.9985861739814739
9,18.0,22.0,focus,0.9999744444692102
10,20.0,24.0,focus,0.9790158455572681
11,22.0,26.0,focus,0.9711273582638561
12,24.0,28.0,focus,0.9904496880443512
13,26.0,30.0,focus,0.9989048584919787
14,28.0,32.0,focus,0.9971987558065941
15,30.0,34.0,focus,0.9228848406520902
16,32.0,36.0,unfocus,0.23165381351328168
17,34.0,38.0,focus,0.9005168893201138
18,36.0,40.0,focus,0.9774736908248886
19,38.0,42.0,focus,0.9569893870070194
20,40.0,44.0,unfocus,0.5208807775479033
21,42.0,46.0,focus,0.7760322307960498
22,44.0,48.0,focus,0.8864809296811471
23,46.0,50.0,focus,0.9985071063910194
24,48.0,52.0,focus,0.9534832636428533
25,50.0,54.0,focus,0.9570676515546089
26,52.0,56.0,focus,0.998566428154942
27,54.0,58.0,focus,0.9737740489515256
28,56.0,60.0,focus,0.9776594562336035
29,58.0,62.0,focus,0.9725012157295124
30,60.0,64.0,focus,0.9159996080877035
31,62.0,66.0,focus,0.9646125104556319
32,64.0,68.0,focus,0.9886454284292188
33,66.0,70.0,focus,0.5351899699510743
34,68.0,72.0,focus,0.9668297510774689
35,70.0,74.0,focus,0.9874293427669979
36,72.0,76.0,focus,0.9502763240133032
37,74.0,78.0,unfocus,0.374845141867812
38,76.0,80.0,unfocus,0.5177291444687598
39,78.0,82.0,unfocus,0.09067175732113855
40,80.0,84.0,unfocus,0.13748260718563707
41,82.0,86.0,unfocus,0.08186351956314611
42,84.0,88.0,focus,0.6033287556528575
43,86.0,90.0,focus,0.9981646093400205
