window_index,start_s,end_s,predicted_label,focus_probability
0,0.0,4.0,unfocus,0.03213290260614642
1,2.0,6.0,unfocus,0.020042703722069115
2,4.0,8.0,unfocus,0.01777451890719505
3,6.0,10.0,unfocus,0.005663671401610625
4,8.0,12.0,unfocus,1.0740093852289554e-05
5,10.0,14.0,unfocus,8.873811558793964e-06
6,12.0,16.0,unfocus,0.002872613074743188
7,14.0,18.0,unfocus,0.025897893607676765
8,16.0,20.0,unfocus,0.01331668806382685
9,18.0,22.0,unfocus,0.0027184331387279776
10,20.0,24.0,unfocus,0.006197580726435171
11,22.0,26.0,unfocus,0.007212578128010318
12,24.0,28.0,unfocus,0.008287895139946093
13,26.0,30.0,unfocus,0.008027611162126207
14,28.0,32.0,unfocus,0.030976620477511534
15,30.0,34.0,unfocus,0.026358244936142913
16,32.0,36.0,unfocus,0.022977533338094155
17,34.0,38.0,unfocus,0.01680597109443257
18,36.0,40.0,unfocus,0.027387333803821766
19,38.0,42.0,unfocus,0.017458595780655832
20,40.0,44.0,unfocus,0.024104885781629556
21,42.0,46.0,unfocus,0.00829880930899568
22,44.0,48.0,unfocus,0.004144860294553443
23,46.0,50.0,unfocus,0.014959174099495856
24,48.0,52.0,unfocus,0.01667726480499221
25,50.0,54.0,unfocus,0.014459606894994011
26,52.0,56.0,unfocus,0.008176408340473458
27,54.0,58.0,unfocus,0.004990752135015111
28,56.0,60.0,unfocus,0.00529527023015116
29,58.0,62.0,unfocus,0.011296129388735756
30,60.0,64.0,unfocus,0.02731030550585001
31,62.0,66.0,unfocus,0.13214040873124544
32,64.0,68.0,unfocus,0.027616717592056007
33,66.0,70.0,unfocus,0.0062396729562901355
34,68.0,72.0,unfocus,0.005902739767322504
35,70.0,74.0,unfocus,0.009315141462844926
36,72.0,76.0,unfocus,0.012577715953666708
37,74.0,78.0,unfocus,0.008449001019470579
38,76.0,80.0,unfocus,0.011472177800144888
39,78.0,82.0,unfocus,0.011607792556463391
