window_index,start_s,end_s,predicted_label,focus_probability
0,0.0,4.0,unfocus,0.3513482884261319
1,2.0,6.0,unfocus,0.3519342078636959
2,4.0,8.0,unfocus,0.3423335646773781
3,6.0,10.0,unfocus,0.3523335514821325
4,8.0,12.0,unfocus,0.3718076875450689
5,10.0,14.0,unfocus,0.3536747386373181
6,12.0,16.0,unfocus,0.3403252180947609
7,14.0,18.0,unfocus,0.3444781898191216
8,16.0,20.0,unfocus,0.34281452189629985
9,18.0,22.0,unfocus,0.34281021233059455
10,20.0,24.0,unfocus,0.3469037603894872
11,22.0,26.0,unfocus,0.33313497718572926
12,24.0,28.0,unfocus,0.3356206234211199
13,26.0,30.0,unfocus,0.3761079627570761
14,28.0,32.0,unfocus,0.33518906923456504
15,30.0,34.0,unfocus,0.34794294285304056
16,32.0,36.0,unfocus,0.36020871048870534
17,34.0,38.0,unfocus,0.3489439441680661
18,36.0,40.0,unfocus,0.36740578738521235
19,38.0,42.0,unfocus,0.36022584677518243
20,40.0,44.0,unfocus,0.384719274606411
21,42.0,46.0,unfocus,0.3593304873124304
22,44.0,48.0,unfocus,0.3624763604769852
23,46.0,50.0,unfocus,0.3365800130821665
24,48.0,52.0,unfocus,0.3361670966209654
25,50.0,54.0,unfocus,0.3307017299301416
26,52.0,56.0,unfocus,0.3283490074592373
27,54.0,58.0,unfocus,0.34476948505223337
28,56.0,60.0,unfocus,0.3241532533570657
29,58.0,62.0,unfocus,0.3518044119804365
30,60.0,64.0,unfocus,0.3504944071280669
31,62.0,66.0,unfocus,0.3317184891738569
32,64.0,68.0,unfocus,0.33316756244674983
33,66.0,70.0,unfocus,0.3567861214125257
34,68.0,72.0,unfocus,0.33933927491882193
35,70.0,74.0,unfocus,0.33710985619495915
36,72.0,76.0,unfocus,0.34641723173791217
37,74.0,78.0,unfocus,0.3429071860046049
38,76.0,80.0,unfocus,0.363008837185571
39,78.0,82.0,unfocus,0.36532231449712693
40,80.0,84.0,unfocus,0.355487014160318
41,82.0,86.0,unfocus,0.3572594725839212
42,84.0,88.0,unfocus,0.36518259929773145
43,86.0,90.0,unfocus,0.3551562805920568
44,88.0,92.0,unfocus,0.3482502452405234
45,90.0,94.0,unfocus,0.35427190630239225
46,92.0,96.0,unfocus,0.34899473212521376
47,94.0,98.0,unfocus,0.3460589716209557
48,96.0,100.0,unfocus,0.3731313838859261
49,98.0,102.0,unfocus,0.38296379147219084
50,100.0,104.0,unfocus,0.34789301316472965
51,102.0,106.0,unfocus,0.3436498240348836
52,104.0,108.0,unfocus,0.33495672821633854
53,106.0,110.0,unfocus,0.3328191658864736
54,108.0,112.0,unfocus,0.3341426933939667
55,110.0,114.0,unfocus,0.3368660813203629
56,112.0,116.0,unfocus,0.3326618897123049
57,114.0,118.0,unfocus,0.3420324368375512
58,116.0,120.0,unfocus,0.3513469674837583
59,118.0,122.0,unfocus,0.364073514702016
60,120.0,124.0,unfocus,0.3978871605640307
61,122.0,126.0,unfocus,0.34882204987952636
62,124.0,128.0,unfocus,0.3513915252841532
63,126.0,130.0,unfocus,0.36377415588913187
64,128.0,132.0,unfocus,0.3586431162875587
65,130.0,134.0,unfocus,0.353693551488033
66,132.0,136.0,unfocus,0.36373412807698546
67,134.0,138.0,unfocus,0.3778671605379904
68,136.0,140.0,unfocus,0.36387540024126586
69,138.0,142.0,unfocus,0.35153457555057893
70,140.0,144.0,unfocus,0.34511929594208574
71,142.0,146.0,unfocus,0.3572319391192703
72,144.0,148.0,unfocus,0.35026448086582457
73,146.0,150.0,unfocus,0.3566128270505531
74,148.0,152.0,focus,0.584015831899381
75,150.0,154.0,unfocus,0.4803253435236791
76,152.0,156.0,unfocus,0.3671902272974589
77,154.0,158.0,unfocus,0.335546589213217
78,156.0,160.0,unfocus,0.3315382359648457
79,158.0,162.0,unfocus,0.3351367676249587
80,160.0,164.0,unfocus,0.33820913484489323
81,162.0,166.0,unfocus,0.3511505714726709
82,164.0,168.0,unfocus,0.34339164550970364
83,166.0,170.0,unfocus,0.3464160645656879
84,168.0,172.0,unfocus,0.373375088396855
85,170.0,174.0,unfocus,0.340259346852592
86,172.0,176.0,unfocus,0.39022212999996503
87,174.0,178.0,unfocus,0.45368851691241346
88,176.0,180.0,unfocus,0.38217357675661395
89,178.0,182.0,unfocus,0.3912735431685612
90,180.0,184.0,unfocus,0.43798244383201035
91,182.0,186.0,unfocus,0.4226846117164893
92,184.0,188.0,unfocus,0.42120007835295226
