fold,heldout_session_id,true_label,predicted_label,session_correct,vote_method,n_train_sessions,train_session_ids,n_train_windows,n_test_windows,window_accuracy,pred_unfocus_windows,pred_focus_windows,mean_focus_probability,median_focus_probability,min_focus_probability,max_focus_probability,pca_components_fitted
1,20260916_lyc_focus_01,focus,focus,True,majority_vote,5,20260916_lyc_focus_02|20260916_lyc_focus_03|20260916_lyc_unfocus_01|20260916_lyc_unfocus_02|20260916_lyc_unfocus_03,1347,309,0.9805825242718447,6,303,0.968312062436017,0.9984951625149225,0.007123585452449906,0.9999964428364237,61
2,20260916_lyc_focus_02,focus,focus,True,majority_vote,5,20260916_lyc_focus_01|20260916_lyc_focus_03|20260916_lyc_unfocus_01|20260916_lyc_unfocus_02|20260916_lyc_unfocus_03,1390,266,0.9924812030075187,2,264,0.9871656311713881,0.9996297361775042,0.39434376050634934,0.9999978909378944,62
3,20260916_lyc_focus_03,focus,focus,True,majority_vote,5,20260916_lyc_focus_01|20260916_lyc_focus_02|20260916_lyc_unfocus_01|20260916_lyc_unfocus_02|20260916_lyc_unfocus_03,1514,142,1.0,0,142,0.9897658331993883,0.9995948990447086,0.7427971841034814,0.9999977405620571,61
4,20260916_lyc_unfocus_01,unfocus,unfocus,True,majority_vote,5,20260916_lyc_focus_01|20260916_lyc_focus_02|20260916_lyc_focus_03|20260916_lyc_unfocus_02|20260916_lyc_unfocus_03,1340,316,0.9810126582278481,310,6,0.021446737925646442,1.131035077842406e-06,1.30355704693574e-11,0.7542312676065541,60
5,20260916_lyc_unfocus_02,unfocus,unfocus,True,majority_vote,5,20260916_lyc_focus_01|20260916_lyc_focus_02|20260916_lyc_focus_03|20260916_lyc_unfocus_01|20260916_lyc_unfocus_03,1371,285,1.0,285,0,0.0017387912215765925,2.949503470635753e-07,6.392043216227007e-12,0.11713207317236136,61
6,20260916_lyc_unfocus_03,unfocus,unfocus,True,majority_vote,5,20260916_lyc_focus_01|20260916_lyc_focus_02|20260916_lyc_focus_03|20260916_lyc_unfocus_01|20260916_lyc_unfocus_02,1318,338,0.9467455621301775,320,18,0.10936517894994137,0.022858356213476747,3.5524041607243796e-09,0.8957060417894468,61
